virus_name,refseq_id,host_name,virus_lineage,evidence
Enterococcus phage phi EF14H1,LC596378,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; unclassified Kochikohdavirus,RefSeq
Enterococcus phage phi EF19G,LC596379,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; Kochikohdavirus Ef19g,RefSeq
Enterococcus phage phi EF7H,LC596377,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; unclassified Kochikohdavirus,RefSeq
Enterococcus phage phiEf11,NC_013696,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"NCBI Virus, RefSeq"
Enterococcus phage phiEF24C-P2,NC_047853,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; Kochikohdavirus EF24CP2; Kochikohdavirus EF24C,RefSeq
Enterococcus phage phiEFM08,PV191268,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Minhovirus; unclassified Minhovirus,RefSeq
Enterococcus phage phiEFM09,PV330110,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Minhovirus; unclassified Minhovirus,RefSeq
Enterococcus phage phiEFM10,PV330111,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Minhovirus; unclassified Minhovirus,RefSeq
Enterococcus phage phiEFM11,PV330112,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Minhovirus; unclassified Minhovirus,RefSeq
Enterococcus phage phiEFM12,PV330113,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Minhovirus; unclassified Minhovirus,RefSeq
Enterococcus phage phiEFM13,PV330114,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Minhovirus; unclassified Minhovirus,RefSeq
Enterococcus phage phiEFM14,PV330115,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Minhovirus; unclassified Minhovirus,RefSeq
Enterococcus phage phiFL1A,NC_013646,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Phifelvirus; Phifelvirus FL1,RefSeq
Enterococcus phage phiFL1B,GQ478082,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Phifelvirus; Phifelvirus FL1,RefSeq
Enterococcus phage phiFL1C,GQ478083,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Phifelvirus; Phifelvirus FL1,RefSeq
Enterococcus phage phiFL2A,NC_013643,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Phifelvirus; Phifelvirus FL2,RefSeq
Enterococcus phage phiFL2B,GQ478085,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Phifelvirus; Phifelvirus FL2,RefSeq
Enterococcus phage phiFL3A,NC_013648,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Phifelvirus; Phifelvirus FL3,RefSeq
Enterococcus phage phiFL3B,GQ478087,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Phifelvirus; Phifelvirus FL3,RefSeq
Enterococcus phage phiFL4A,NC_013644,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"NCBI Virus, RefSeq"
Enterococcus phage phiNASRA1,MG264739,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage phiSHEF10,OL799256,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus SHEF2,RefSeq
Enterococcus phage phiSHEF11,OL799257,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus SHEF4,RefSeq
Enterococcus phage phiSHEF2,NC_042021,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus SHEF2,RefSeq
Enterococcus phage phiSHEF4,NC_042022,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus SHEF4,RefSeq
Enterococcus phage phiSHEF5,NC_042023,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus SHEF5,RefSeq
Enterococcus phage PMBT2,NC_042101,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus PMBT2,RefSeq
Enterococcus phage PricklyPear,PV544175,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage Pumpjack,PV544176,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage Revolver,PV544177,Enterococcus faecalis,Viruses; unclassified bacterial viruses,RefSeq
Enterococcus phage RG1,PQ586903,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage SAM-E.f 12,OR762047,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage SAP6,NC_041960,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; Saphexavirus SAP6,RefSeq
Enterococcus phage SE,PP583004,Enterococcus faecalis,Viruses; unclassified bacterial viruses,RefSeq
Enterococcus phage SFQ01,OQ831052,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage Sigurd,MZ326865,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage SSBHU,PQ778307,Enterococcus faecium,Viruses; unclassified bacterial viruses,RefSeq
Enterococcus phage SSMH01,OR360270,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage SSMH02,OQ866599,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage TexasRanger,PV544181,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage TJE1,ON506927,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Schiekvirus; Schiekvirus Tje1,RefSeq
Enterococcus phage TJE2,ON506928,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Schiekvirus; Schiekvirus Tje2,RefSeq
Enterococcus phage TJE4,ON506926,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Andrewesvirinae; Denvervirus; unclassified Denvervirus,RefSeq
Enterococcus phage UTI-EfS3,OL870611,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Schiekvirus; unclassified Schiekvirus,RefSeq
Enterococcus phage UTI-EfS7,OL870612,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage Vaquero,PV544183,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB-EfaP-1017,OQ942208,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage vb_EcoA_C-3,PP858896,Enterococcus faecalis,Viruses; unclassified bacterial viruses,RefSeq
Enterococcus phage vB_Efae230P-4,NC_025467,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus Efae230P4,RefSeq
Enterococcus phage vB_EfaH_EF1TV,MK268686,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; unclassified Kochikohdavirus,RefSeq
Enterococcus phage vB_EfaM_Ef2.1,MK693030,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; unclassified Kochikohdavirus,"Literature, RefSeq"
Enterococcus phage vB_EfaM_Ef2.3,MK721192,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; Kochikohdavirus Ef23,"Literature, RefSeq"
Enterococcus phage vB_EfaM_LG1,MZ420150,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; unclassified Kochikohdavirus,RefSeq
Enterococcus phage vB_EfaP_2/Chl-5,PV455607,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Salasmaviridae; unclassified Salasmaviridae,RefSeq
Enterococcus phage vB_EfaP_Ef6.2,NC_049932,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus Ef62,"Literature, RefSeq"
Enterococcus phage vB_EfaP_Ef6.3,NC_049933,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus Ef63,"Literature, RefSeq"
Enterococcus phage vB_EfaP_Ef7.2,NC_049934,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus Ef72,"Literature, RefSeq"
Enterococcus phage vB_EfaP_Ef7.3,NC_049939,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus Ef73,"Literature, RefSeq"
Enterococcus phage vB_EfaP_Ef7.4,NC_049940,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus Ef74,"Literature, RefSeq"
Enterococcus phage vB_EfaP_Efmus1,NC_049938,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus Efmus1,"Literature, RefSeq"
Enterococcus phage vB_EfaP_Efmus2,MK721197,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus Efmus1,"Literature, RefSeq"
Enterococcus phage vB_EfaP_Efmus3,NC_049936,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus Efmus3,"Literature, RefSeq"
Enterococcus phage vB_EfaP_Efmus4,NC_049935,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus Efmus4,"Literature, RefSeq"
Enterococcus phage vB_EfaP_IME195,NC_028693,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus IME195,RefSeq
Enterococcus phage vB_EfaP_IME199,NC_049931,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Minhovirus; Minhovirus IME199,RefSeq
Enterococcus phage vB_EfaP_Zip,NC_049930,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Minhovirus; Minhovirus zip,RefSeq
Enterococcus phage vB_EfaS-271,MT520979,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_EfaS-DELF1,LC513943,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Delfunavirus; Delfunavirus delf1,RefSeq
Enterococcus phage vB_EfaS_785CC,MZ272341,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus LY0322,RefSeq
Enterococcus phage vB_EfaS_785CS,MZ182246,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus LY0322,RefSeq
Enterococcus phage vB_EfaS_9592-1,OQ876859,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_EfaS_AL2,NC_042127,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus AL2,RefSeq
Enterococcus phage vB_EfaS_AL3,NC_042126,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus AL3,"Literature, RefSeq"
Enterococcus phage vB_EfaS_EF1c55,MN103542,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage vB_EfaS_Ef2.2,MK721189,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,"Literature, RefSeq"
Enterococcus phage vB_EfaS_Ef5.1,MK721199,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,"Literature, RefSeq"
Enterococcus phage vB_EfaS_Ef5.2,MK721186,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,"Literature, RefSeq"
Enterococcus phage vB_EfaS_Ef5.3,MK721200,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,"Literature, RefSeq"
Enterococcus phage vB_EfaS_Ef5.4,MK721191,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,"Literature, RefSeq"
Enterococcus phage vB_EfaS_Ef6.1,"MK721187, OP889240",Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,"Literature, RefSeq"
Enterococcus phage vB_EfaS_Ef6.4,MK721190,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,"Literature, RefSeq"
Enterococcus phage vB_EfaS_Ef7.1,MK721194,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,"Literature, RefSeq"
Enterococcus phage vB_EfaS_HEf13,MH618488,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage vB_EfaS_IME196,NC_028990,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus IME196,"Literature, RefSeq"
Enterococcus phage vB_EfaS_IME197,NC_028671,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage vB_EfaS_IME198,NC_029016,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,"NCBI Virus, RefSeq"
Enterococcus phage vB_EfaS_LM99,MH355583,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_Efas_LOK1,PV780768,Enterococcus faecalis,Viruses; unclassified bacterial viruses,RefSeq
Enterococcus phage vB_EfaS_Max,MK360024,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_EfaS_MF-DL,PQ799575,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_EfaS_Paulomi,OL539449,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_EfaS_PHB08,MK570225,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage vB_EfaS_SZ1,PP848496,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_EfaS_SZ2,PV648736,Enterococcus faecalis,Viruses; unclassified bacterial viruses,RefSeq
Enterococcus phage vB_EFaS_TV51,MT661597,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; Efquatrovirus PMBT2,RefSeq
Enterococcus phage vB_EFaS_TV54,MT661598,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_EFaS_ZC1,PP271740,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage vB_Efa_VP14,OR237563,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_Efa_VP15,OR237564,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_Efa_VP16,OR237565,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_EfeBG-143,PQ433353,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; unclassified Kochikohdavirus,RefSeq
Enterococcus phage vB_EfKM29,PQ389505,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Andrewesvirinae; Vipetofemvirus; unclassified Vipetofemvirus,RefSeq
Enterococcus phage vB_EfKS5,OQ297175,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage vB_Efm10_KEN22,PP582176,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage vB_Efm3_KEN18,PP582173,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage vB_Efm3_KEN20,PP582174,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage vB_Efm8_KEN21,PP582175,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage vB_Efm_LG62,OP018674,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efemunavirus; Efemunavirus Lg62,RefSeq
Enterococcus phage vB_Efs10_KEN05,PP582181,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage vB_Efs19_KEN07,PP582182,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_Efs19_KEN17,PP582188,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage vB_Efs1_KEN01,PP582177,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; unclassified Copernicusvirus,RefSeq
Enterococcus phage vB_Efs22_KEN09,PP582183,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_Efs25_KEN11,PP582184,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; unclassified Kochikohdavirus,RefSeq
Enterococcus phage vB_Efs26_KEN12,PP582185,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; unclassified Copernicusvirus,RefSeq
Enterococcus phage vB_Efs30_KEN14,PP582186,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_Efs4_KEN02,PP582178,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_Efs6_KEN03,PP582179,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage vB_Efs6_KEN16,PP582187,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; unclassified Kochikohdavirus,RefSeq
Enterococcus phage vB_Efs8_KEN04,PP582180,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; unclassified Kochikohdavirus,RefSeq
Enterococcus phage vB_EFS_EFP6,PP836395,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage vB_EfS_L1,OP254195,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vB_EF_Enf3,PP747318,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage vb_GEC_Ef_S_9,MW672041,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Amiranvirus; Amiranvirus Gecefs9,RefSeq
Enterococcus phage vB_LilEfe_55,PQ433352,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saphexavirus; unclassified Saphexavirus,RefSeq
Enterococcus phage VRE9_1,PP680567,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage VRE9_2,PP680568,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage VRE9_3,PP680569,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage VRE9_4,PP680570,Enterococcus faecium,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Enterococcus phage ZEF1,MT747434,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; unclassified Copernicusvirus,RefSeq
Enterococcus phage ZXL,ON113334,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Efquatrovirus; unclassified Efquatrovirus,RefSeq
Enterococcus phage_EF62phi,CP124959,Enterococcus faecalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Escehrichia phage NorthRox,OR896823,Escherichia coli,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Tempevirinae; Warwickvirus; unclassified Warwickvirus,RefSeq
